q,qer,theoreticKeyRate,n,N,L,frozenBitsAlgorithm,numInfoQudits,maxListSize,errorProb,keyRate,timeRate,numTrials
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,20,1,0.795,0.5200658205491294,0.00013648694531249997,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,20,2,0.58,0.5044408205491294,0.0002091780859375,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,20,3,0.555,0.49530078147536133,0.00027030526562500006,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,20,4,0.545,0.4888158205491294,0.0003059946328125,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,20,5,0.46,0.4837856940665144,0.00033897939843750016,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,20,6,0.48,0.4796757814753614,0.00037153500781250014,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,21,1,0.88,0.5448308596228975,0.00013501367187500002,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,21,2,0.745,0.5292058596228975,0.0002097897500000001,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,21,3,0.655,0.5200658205491294,0.00026536095312500006,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,21,4,0.595,0.5135808596228975,0.0003080953828125002,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,21,5,0.595,0.5085507331402824,0.00034187837499999985,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,22,1,0.935,0.5695958986966655,0.0001360101250000001,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,22,2,0.84,0.5539708986966655,0.00020983446874999978,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,22,3,0.735,0.5448308596228975,0.0002692370625000001,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,22,4,0.73,0.5383458986966655,0.000326640546875,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,22,5,0.64,0.5333157722140505,0.00038360906249999995,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,22,6,0.645,0.5292058596228975,0.00045247249218750005,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,23,1,0.955,0.5943609377704336,0.00014205431250000013,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,23,2,0.92,0.5787359377704336,0.00021470861718749957,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,23,3,0.85,0.5695958986966656,0.00027500267968749937,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,23,4,0.82,0.5631109377704336,0.0003344246484375002,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,23,5,0.81,0.5580808112878186,0.00040442807031250026,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,23,6,0.75,0.5539708986966656,0.000447389937499999,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,23,7,0.725,0.5504960171132836,0.0005219359296875003,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,23,8,0.715,0.5474859377704336,0.0005709855859375001,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,23,9,0.905,0.5448308596228975,0.0006160109609374998,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,24,1,0.96,0.6191259768442017,0.00013498236718749944,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,24,2,0.96,0.6035009768442017,0.0002113288671874991,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,25,1,1.0,0.6438910159179697,0.0001359523281250008,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,25,2,0.985,0.6282660159179697,0.00021701331249999957,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,25,3,0.95,0.6191259768442017,0.00028243088281249993,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,25,4,0.955,0.6126410159179697,0.0003502222187500004,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,26,1,1.0,0.6686560549917379,0.00013813142187500072,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,26,2,0.995,0.6530310549917379,0.00021773857812499965,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,26,3,0.98,0.6438910159179698,0.0002804548359375003,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,26,4,0.99,0.6374060549917379,0.0003484729531249986,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,27,1,1.0,0.6934210940655059,0.00013746789843749996,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,27,2,0.99,0.6777960940655059,0.0002317064843750005,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,27,3,0.995,0.6686560549917379,0.00029504203125000126,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,28,1,1.0,0.7181861331392739,0.00014151095312499916,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,28,2,1.0,0.7025611331392739,0.00022410467187499838,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,29,1,1.0,0.742951172213042,0.00014894029687499976,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,29,2,0.995,0.727326172213042,0.00024355250781250116,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,29,3,1.0,0.7181861331392739,0.00032651650000000034,200
3,0.98,0.4635219581793355,7,128,100,degradingUpgrading,50,1,1.0,0.6315084963810857,0.0001549925156249987,200
